token,cluster_id,freq_in_corpus
concept,0,4
notion,0,4
vision,0,4
intelligent,0,9
sound,0,5
morality,0,6
feel,0,5
sight,0,4
idea,0,12
logic,0,4
didactic,0,4
feels,0,24
think,0,7
ideas,0,11
style,0,10
smell,0,4
thoughts,0,6
thought,0,7
enterprise,1,4
company,1,4
small,1,9
baseball,1,6
sweet,1,13
take,1,15
trying,1,7
effort,1,7
works,1,6
tv,1,10
technical,1,8
subject,1,9
franchise,1,5
structured,1,4
settings,1,4
politics,1,5
powers,1,4
motion,1,4
becomes,2,5
becoming,2,4
turned,2,6
become,2,8
get,2,25
keeps,2,7
stage,2,6
rural,2,4
fields,2,4
got,2,5
gets,2,10
plight,2,4
account,2,4
focus,2,8
work,2,33
find,2,13
turns,2,9
heinous,3,4
awful,3,8
exercise,3,4
away,3,23
ugly,3,5
straight,3,4
endure,3,4
credits,3,6
wacky,3,4
ends,3,8
boxing,3,6
teacher,3,4
outrageous,3,4
evil,3,4
unpleasant,3,6
voices,3,4
reminds,3,4
stars,4,6
star,4,11
one,4,89
popular,4,4
literary,4,4
job,4,8
green,4,6
talented,4,5
central,4,4
writer,4,4
tragic,4,5
disney,4,5
jackson,4,4
debut,4,6
fame,4,6
familiar,4,9
career,4,4
moving,4,13
lack,5,8
lacks,5,11
years,5,15
loss,5,8
flair,5,5
energy,5,6
size,5,4
visible,5,4
year,5,18
money,5,5
general,5,4
obvious,5,7
cultural,5,4
moral,5,5
giant,5,4
films,6,20
movie,6,160
mostly,6,10
cinematic,6,16
images,6,5
picture,6,13
flick,6,10
banal,6,6
productions,6,4
filmmakers,6,10
thriller,6,13
message,6,11
film,6,213
filmmaking,6,4
opera,6,10
movies,6,27
cinema,6,7
kilmer,6,4
sentimentality,7,8
melodrama,7,5
parents,7,5
drawn,7,4
telling,7,4
wry,7,4
derivative,7,4
reflection,7,6
tell,7,4
pathos,7,4
operatic,7,4
moviemaking,7,4
narrative,7,13
unlike,7,5
preachy,7,4
told,7,7
title,7,14
stale,7,8
room,8,4
chamber,8,4
acted,8,9
documentary,8,8
talent,8,12
martha,8,4
packed,8,6
nine,8,6
enjoy,8,11
welcome,8,4
parts,8,5
seen,8,12
played,8,6
made,8,21
skill,8,6
fine,8,8
head,9,6
heads,9,4
saying,9,4
tony,9,6
turkey,9,5
found,9,6
half,9,4
seeing,9,4
pointed,9,4
heart,9,22
remains,9,4
watch,9,12
acting,9,12
say,9,11
jason,9,4
novel,10,5
new,10,27
entire,10,4
another,10,22
home,10,4
joy,10,4
recent,10,5
romance,10,10
sade,10,5
infectious,10,4
family,10,12
latest,10,6
released,10,8
two,10,23
convey,10,4
mesmerizing,11,6
fascinating,11,9
experience,11,11
spectacle,11,6
intriguing,11,10
interesting,11,25
seductive,11,5
riveting,11,5
gripping,11,8
ice,11,4
poignant,11,6
look,11,25
thrilling,11,10
expect,11,5
exciting,11,7
appealing,11,4
view,11,4
tedious,12,6
monotonous,12,4
sometimes,12,10
vivid,12,4
treasure,12,7
ever,12,22
always,12,6
precious,12,4
long,12,25
chemistry,12,6
boring,12,8
dull,12,18
clunky,12,4
everything,12,8
gags,12,5
plain,12,5
reality,12,10
realistic,12,5
infantile,13,4
children,13,8
kids,13,6
epic,13,9
like,13,92
love,13,36
families,13,4
literate,13,4
sad,13,6
son,13,5
young,13,20
moody,13,4
defies,13,4
big,13,40
quirky,13,10
ride,13,6
complex,14,5
convoluted,14,4
land,14,4
men,14,8
dealing,14,4
side,14,4
subtly,14,5
subtle,14,6
sprawling,14,4
dark,14,9
grim,14,4
hard,14,14
study,14,12
complexity,14,6
nuanced,14,4
tough,14,4
distinctive,14,6
adventure,15,5
journey,15,8
wants,15,5
phenomenon,15,4
imagination,15,4
taste,15,8
imagine,15,4
daytime,15,4
clumsy,15,8
price,15,7
barbara,15,4
eyes,15,5
place,15,10
dreams,15,6
tale,15,16
surreal,15,8
trip,15,5
fancy,15,6
car,16,4
world,16,26
makes,16,37
camera,16,9
smart,16,5
recognize,16,4
intellectual,16,4
different,16,8
someone,16,6
beach,16,4
hollywood,16,19
games,16,4
country,16,4
certain,16,6
forced,16,7
body,16,4
next,17,4
coming,17,8
following,17,6
still,17,19
across,17,4
predictable,17,8
strength,17,4
form,17,15
swept,17,4
humanity,17,4
close,17,6
nearly,17,6
almost,17,13
ago,17,4
yet,17,14
come,17,9
failure,18,4
missing,18,5
satire,18,4
decide,18,4
proves,18,4
fire,18,4
ship,18,4
end,18,18
abilities,18,4
inept,18,4
stealing,18,4
part,18,20
power,18,11
skills,18,4
capable,18,4
collateral,18,4
thing,19,13
stuff,19,5
effects,19,21
thoughtful,19,4
point,19,4
case,19,4
see,19,17
weight,19,5
matter,19,4
feature,19,9
truth,19,7
trick,19,4
takes,19,21
things,19,9
soap,19,4
effect,19,5
believe,19,5
wonder,19,8
unforgettable,20,4
memorable,20,8
situation,20,6
considerable,20,4
grand,20,7
amazing,20,4
extraordinary,20,6
stunning,20,4
beautiful,20,7
pleasure,20,5
significant,20,4
birthday,20,4
brilliant,20,6
awesome,20,6
important,20,5
major,20,8
great,20,20
gorgeous,20,8
terrific,20,6
remarkable,20,4
robert,21,5
alan,21,4
anne,21,6
fortune,21,4
dead,21,6
parker,21,4
hollow,21,8
passing,21,5
harvard,21,4
death,21,6
slow,21,8
affleck,21,4
shot,21,9
pulse,21,5
jane,21,4
waste,21,6
oliver,21,4
piece,21,15
destination,21,6
swaggering,22,4
beguiling,22,5
alienate,22,4
slapstick,22,4
redeeming,22,4
sense,22,20
blend,22,8
behind,22,6
falls,22,5
punch,22,4
splash,22,4
soundtrack,22,7
slice,22,4
shimmering,22,4
rap,22,8
girl,23,6
woman,23,4
plotting,23,4
runs,23,6
story,23,68
sex,23,10
execution,23,6
language,23,6
talking,23,4
pulls,23,5
aside,23,6
going,23,16
minority,23,4
rejected,23,4
script,23,30
dialogue,23,16
left,23,9
women,23,8
way,24,25
ways,24,4
adaptation,24,7
lane,24,4
fable,24,5
goes,24,9
action,24,12
line,24,4
version,24,4
moves,24,4
calculated,24,4
haunts,24,4
approach,24,4
piano,24,4
ground,24,4
formula,24,8
fashion,24,6
pinocchio,24,5
tackles,24,4
disturbing,25,5
disappointing,25,4
simplistic,25,4
surface,25,4
colors,25,6
artfully,25,4
evidence,25,4
confirms,25,6
easily,25,6
embarrassment,25,4
emotionally,25,6
seem,25,11
seems,25,31
scary,25,4
creepy,25,6
worse,26,7
worst,26,6
originality,26,10
lives,26,5
happens,26,4
life,26,30
original,26,22
live,26,4
comes,26,12
back,26,13
miserable,26,4
british,26,4
whether,26,4
old,26,13
first,26,19
cheap,26,6
equally,27,5
instead,27,15
stays,27,4
deserves,27,6
go,27,13
constant,27,4
however,27,4
since,27,11
except,27,10
something,27,37
stands,27,4
equivalent,27,4
although,27,12
friendship,27,9
though,27,16
somehow,27,4
sustain,27,4
often,27,14
seemingly,27,4
enough,28,47
quite,28,19
much,28,59
full,28,17
broad,28,4
rather,28,19
entirely,28,8
worthy,28,6
utter,28,4
true,28,6
completely,28,8
well,28,23
right,28,8
high,28,12
need,28,8
somewhat,28,4
decent,28,4
cause,29,4
reason,29,7
rage,29,4
due,29,4
uses,29,10
meditation,29,4
escapist,29,4
haunting,29,6
value,29,4
audiences,29,4
result,29,6
fact,29,6
screenplay,29,6
wit,29,11
hero,29,7
employs,29,4
dumb,29,10
second,30,9
along,30,10
minute,30,4
guy,30,4
queens,30,4
quiet,30,6
whole,30,11
together,30,7
filmed,30,6
presented,30,6
man,30,16
done,30,13
material,30,7
x,30,4
treat,30,8
downer,30,5
ensemble,30,10
naked,31,4
mile,31,4
nonsensical,31,4
michael,31,6
leaves,31,7
thousand,31,4
seeds,31,4
pure,31,7
suggests,31,4
ridiculous,31,8
farce,31,4
breezy,31,4
watching,31,22
drag,31,4
silly,31,6
bit,31,4
wild,31,7
de,32,12
among,32,10
soul,32,4
asks,32,4
unfamiliar,32,4
people,32,22
adults,32,11
hand,32,6
nervous,32,4
around,32,18
adult,32,5
folks,32,4
human,32,11
three,32,10
empathy,32,4
neither,33,6
either,33,7
could,33,29
loyalty,33,6
without,33,25
relationship,33,5
points,33,6
violence,33,9
art,33,8
none,33,8
wo,33,11
manages,33,19
nothing,33,30
tries,33,6
running,33,4
might,34,14
potentially,34,4
wrong,34,5
unlikely,34,6
likely,34,8
uncomplicated,34,4
perhaps,34,7
maybe,34,5
anywhere,34,4
war,34,4
game,34,7
romantic,34,14
simple,34,7
laughter,34,4
easy,34,5
probably,34,8
entertaining,35,9
amusing,35,11
video,35,14
pictures,35,7
viewers,35,8
would,35,11
funny,35,36
hilarious,35,6
surprise,35,4
fun,35,38
laugh,35,4
scenes,35,19
entertained,35,4
unfunny,35,4
entertainment,35,14
surprises,35,8
laughs,35,9
memory,35,9
weirdly,36,4
strangely,36,5
couple,36,4
chilly,36,4
premise,36,6
flat,36,5
keeping,36,4
chilling,36,4
highly,36,5
held,36,4
powerful,36,4
cool,36,12
inoffensive,36,4
igloo,36,4
cold,36,5
cheesy,36,4
fast,37,6
quickly,37,7
series,37,13
pace,37,4
brother,37,4
week,37,6
early,37,4
hours,37,5
minutes,37,16
lot,37,16
time,37,60
accessible,37,6
occasionally,37,7
complete,37,6
finally,37,5
shock,37,4
day,37,6
rhythms,37,4
hill,38,6
difficult,38,8
scene,38,12
party,38,6
needs,38,6
ca,38,27
inhabitants,38,4
matters,38,4
issues,38,6
american,38,19
particular,38,5
solaris,38,6
may,38,30
individuals,38,4
stunts,38,4
pic,38,4
resonance,38,4
refreshing,39,5
inspire,39,6
lively,39,6
importantly,39,4
school,39,7
trite,39,4
hope,39,10
looks,39,7
harry,39,4
modern,39,6
genres,39,4
improved,39,4
better,39,22
hopes,39,4
reaction,39,4
god,40,5
hell,40,4
master,40,4
thanks,40,5
despite,40,17
suspense,40,11
unfortunately,40,4
consequences,40,4
gazing,40,4
care,40,8
murderous,40,4
pumpkin,40,5
tears,40,5
lies,40,5
heaven,40,5
surrounds,40,4
emotions,41,6
sentiments,41,4
feeling,41,5
excitement,41,6
hide,41,4
damage,41,4
hidden,41,4
disappointment,41,4
never,41,24
psychological,41,11
thrills,41,8
grief,41,5
witty,41,12
pretentious,41,5
emotional,41,12
dangerous,41,4
know,41,15
offers,42,7
delivers,42,10
tricks,42,6
madness,42,4
written,42,5
scott,42,4
crafted,42,4
give,42,7
tender,42,6
provides,42,5
put,42,17
bring,42,4
offer,42,6
gives,42,13
project,42,6
offering,42,6
allows,42,4
engage,43,7
engaging,43,8
roll,43,4
begins,43,5
promising,43,6
lets,43,4
sea,43,4
winning,43,5
license,43,4
looking,43,8
make,43,50
simply,43,7
taking,43,4
rent,43,6
allow,43,4
alone,43,6
entry,43,4
lead,43,11
play,43,15
building,44,4
constructed,44,6
comprehensible,44,4
deal,44,6
development,44,5
gang,44,4
creation,44,4
european,44,4
rises,44,4
least,44,11
based,44,6
structure,44,4
state,44,4
pay,44,4
set,44,8
apply,44,4
deep,45,8
heartfelt,45,5
past,45,13
lovers,45,6
passion,45,13
mired,45,4
intense,45,4
depth,45,7
many,45,13
fresh,45,7
desperate,45,6
fans,45,11
actual,45,4
godard,45,4
loved,45,6
far,45,36
string,46,6
mind,46,6
production,46,6
performance,46,20
sequel,46,7
us,46,45
poetry,46,4
revenge,46,5
creativity,46,4
weaves,46,4
imaginative,46,8
japanese,46,7
inventive,46,6
generic,46,4
return,46,5
w,47,4
humor,47,35
visually,47,6
comedies,47,6
jokes,47,8
best,47,37
french,47,11
moment,47,6
natural,47,4
spontaneity,47,5
generally,47,5
roger,47,6
typical,47,4
fly,47,4
cartoons,47,4
overall,47,7
frailty,48,4
volatile,48,5
masterpiece,48,7
interest,48,10
lifeless,48,5
disguise,48,4
david,48,8
middle,48,4
gentle,48,8
ghost,48,5
show,48,13
shows,48,11
displaying,48,4
less,48,15
else,49,11
otherwise,49,7
want,49,4
also,49,18
horror,49,13
leads,49,6
anything,49,12
bad,49,39
every,49,22
gift,49,4
others,49,7
helped,49,4
help,49,4
everyone,49,5
anyone,49,17
sugar,49,4
beyond,49,6
directed,49,14
hit,49,7
level,50,9
levels,50,4
standard,50,4
times,50,7
mystery,50,7
kind,50,22
technique,50,4
ultimately,50,12
lower,50,4
magic,50,6
drugs,50,4
finding,50,4
light,50,6
class,50,7
costumes,50,7
sort,50,8
positively,51,5
refreshingly,51,6
hang,51,5
undisputed,51,4
burns,51,5
fiercely,51,4
determined,51,4
keep,51,9
likable,51,5
superbly,51,4
friends,51,4
compelling,51,18
beautifully,51,4
convincing,51,4
solid,51,11
reginald,52,4
cliches,52,5
elling,52,4
miss,52,8
rare,52,7
change,52,5
read,52,6
medium,52,6
miller,52,7
collective,52,6
college,52,6
sit,52,10
dance,52,4
jones,52,4
good,52,61
charming,53,7
charm,53,17
role,53,5
special,53,20
featuring,53,7
birth,53,4
enjoyable,53,6
charisma,53,6
paxton,53,4
pleasant,53,4
character,53,28
report,53,11
energetic,53,9
rewarding,53,4
bag,53,4
presence,53,4
reno,54,4
comedy,54,51
theater,54,8
theaters,54,5
short,54,11
visual,54,7
moments,54,19
sitcom,54,6
hardly,54,4
culture,54,12
dog,54,4
screen,54,20
barely,54,4
force,54,6
little,54,45
characters,54,67
rarely,54,4
really,55,24
truly,55,5
altogether,55,4
wonderfully,55,5
enthusiast,55,4
utterly,55,9
frankly,55,5
real,55,17
pretty,55,17
genuinely,55,4
carefully,55,4
certainly,55,6
warm,55,5
exquisitely,55,8
actually,55,10
clear,55,14
exactly,55,10
even,55,70
particularly,55,4
crude,56,4
raw,56,6
worth,56,12
deeper,56,4
cast,56,20
naturalism,56,4
pop,56,6
raunchy,56,6
tension,56,7
face,56,7
directing,56,6
substance,56,4
badly,56,4
brutal,56,6
beneath,56,6
niro,56,5
casting,56,6
actor,57,11
actress,57,4
music,57,13
satisfying,57,11
director,57,45
filmmaker,57,10
genre,57,10
actors,57,9
actresses,57,4
factor,57,4
artist,57,4
add,57,9
scenery,57,6
plays,57,5
share,57,4
drama,57,27
entertains,57,4
impostor,58,4
crime,58,5
wickedly,58,4
ingredients,58,4
final,58,4
last,58,14
spy,58,5
clever,58,4
meyer,58,4
slasher,58,4
attempt,58,5
plot,58,29
slowly,58,4
deftly,58,11
intelligence,58,6
evocative,59,4
covers,59,5
insight,59,5
portrait,59,4
moviegoers,59,6
include,59,4
touching,59,10
audience,59,22
appeal,59,6
storytelling,59,4
contains,59,4
whose,59,13
knows,59,7
viewer,59,5
performances,59,33
flicks,59,4
perry,59,4
